lpermno,datadate,fyear,BE,MKTV.end.of.current.fiscal.year,MKTV.end.of.subsequent.fiscal.year,MKTV.june.of.current.fiscal.year,FF.49
19166,31/12/2011,2011,1240.6,6059.19492,8040.29688,6171.0748,14 Chems
19166,31/12/2012,2012,1480.3,8040.29688,10056.85604,7333.92632,14 Chems
19166,31/12/2013,2013,1592.9,10056.85604,7600.21701,8312.0978,14 Chems
19166,31/12/2014,2014,1581.8,7600.21701,5228.66799,9479.87397,14 Chems
19350,31/10/2010,2010,6434.6,35106.14855,31259.1461,23654.97984,21 Mach
19350,31/10/2011,2011,6968.6,31259.1461,33519.7254,34605.00705,21 Mach
19350,31/10/2012,2012,7006.5,33519.7254,34018.96372,32164.91032,21 Mach
19350,31/10/2013,2013,10426.1,34018.96372,30459.86712,31528.575,21 Mach
19350,31/10/2014,2014,9223.5,30459.86712,24154.709,32941.45615,21 Mach
19393,31/12/2010,2010,15767,45325.4188,59715.30768,42888.66956,13 Drugs
19393,31/12/2011,2011,16063,59715.30768,53795.95451,49405.41248,13 Drugs
19393,31/12/2012,2012,14006,53795.95451,87513.76045,60722.5698,13 Drugs
19393,31/12/2013,2013,15227,87513.76045,97917.54728,73405.64888,13 Drugs
19393,31/12/2014,2014,14912,97917.54728,114761.3939,80389.60776,13 Drugs
19502,31/08/2010,2010,14718,36067.76544,28877.97612,25983.8526,43 Rtail
19502,31/08/2011,2011,15190,28877.97612,34978.33605,38444.09074,43 Rtail
19502,31/08/2012,2012,18781,34978.33605,54577.82224,25393.3947,43 Rtail
19502,31/08/2013,2013,20054,54577.82224,83056.1712,41769.1768,43 Rtail
19502,31/08/2014,2014,21505,83056.1712,91860.70079,70744.55703,43 Rtail
19561,31/12/2010,2010,2766,47873.4308,54516.2139,47629.57175,24 Aero
19561,31/12/2011,2011,3515,54516.2139,56827.24272,54580.67075,24 Aero
19561,31/12/2012,2012,5867,56827.24272,102565.8275,55654.3407,24 Aero
19561,31/12/2013,2013,14875,102565.8275,92666.6414,77719.28164,24 Aero
19561,31/12/2014,2014,8665,92666.6414,96872.98656,92779.29675,24 Aero
20415,31/12/2010,2010,6956.758,7099.99006,5561.81742,4747.01712,48 Fin
20415,31/12/2011,2011,6174.396,5561.81742,5818.62957,8339.496,48 Fin
20415,31/12/2012,2012,6767.268,5818.62957,10331.00692,5202.28041,48 Fin
20415,31/12/2013,2013,10102.462,10331.00692,8260.17818,9554.25336,48 Fin
20415,31/12/2014,2014,10302.158,8260.17818,6301.05782,9663.80052,48 Fin
